Group,New Group,Metric,Country,Value,Total,Point
Household,0,Single person,Netherlands,28.4,15.1,1
Household,0,Single person,Austria,27.5,16.6,1
Household,0,Single person,Poland,38.7,27.8,1
Household,0,Single person,Portugal,41.6,25.3,1
Household,0,Single person,Romania,53.8,41.4,1
Household,0,Single person,Slovenia,45.8,18.3,1
Household,0,Single person,Slovakia,32.3,20.6,1
Household,0,Single person,Finland,37.8,16.9,1
Household,0,Single person,Sweden,32.6,15,1
Household,0,Single person,United Kingdom,33.8,23.1,1
Household,0,Single person,Iceland,27.1,13.7,1
Household,0,Single person,Norway,34.8,14.9,1
Household,0,Single person,Switzerland,25.7,17.1,1
Household,0,Single person,Croatia,56.1,31.3,1
Household,0,1 adult < 65,Belgium,34.6,20.8,1
Household,0,1 adult < 65,Bulgaria,58,41.6,1
Household,0,1 adult < 65,Czech Republic,27.6,14.4,1
Household,0,1 adult < 65,Denmark,42.1,18.3,1
Household,0,1 adult < 65,Germany,41.1,19.7,1
Household,0,1 adult < 65,Estonia,34.8,21.7,1
Household,0,1 adult < 65,Ireland,48.8,29.9,1
Household,0,1 adult < 65,Greece,37.9,27.7,1
Household,0,1 adult < 65,Spain,31.2,25.5,1
Household,0,1 adult < 65,France,32.3,19.2,1
Household,0,1 adult < 65,Italy,29.8,24.5,1
Household,0,1 adult < 65,Cyprus,30.4,23.6,1
Household,0,1 adult < 65,Latvia,52.9,38.1,1
Household,0,1 adult < 65,Lithuania,53,33.4,1
Household,0,1 adult < 65,Luxembourg,28,17.1,1
Household,0,1 adult < 65,Hungary,42.9,29.9,1
Household,0,1 adult < 65,Malta,41.4,20.6,1
Household,0,1 adult < 65,Netherlands,37.5,15.1,1
Household,0,1 adult < 65,Austria,29.6,16.6,1
Household,0,1 adult < 65,Poland,45.6,27.8,1
Household,0,1 adult < 65,Portugal,41.4,25.3,1
Household,0,1 adult < 65,Romania,55.3,41.4,1
Household,0,1 adult < 65,Slovenia,45.4,18.3,1
Household,0,1 adult < 65,Slovakia,38.2,20.6,1
Household,0,1 adult < 65,Finland,36.7,16.9,1
Household,0,1 adult < 65,Sweden,32.8,15,1
Household,0,1 adult < 65,United Kingdom,37.7,23.1,1
Household,0,1 adult < 65,Iceland,34,13.7,1
Household,0,1 adult < 65,Norway,36.7,14.9,1
Household,0,1 adult < 65,Switzerland,18.5,17.1,1
Household,0,1 adult < 65,Croatia,54.8,31.3,1
Household,0,1 adult 65+,Belgium,24.2,20.8,1
Household,0,1 adult 65+,Bulgaria,78.9,41.6,1
Household,0,1 adult 65+,Czech Republic,23.2,14.4,1
Household,0,1 adult 65+,Denmark,23.6,18.3,1
Household,0,1 adult 65+,Germany,23.9,19.7,1
Household,0,1 adult 65+,Estonia,34.2,21.7,1
Household,0,1 adult 65+,Ireland,17.3,29.9,1
Household,0,1 adult 65+,Greece,39.4,27.7,1
Household,0,1 adult 65+,Spain,30.9,25.5,1
Household,0,1 adult 65+,France,19,19.2,1
Household,0,1 adult 65+,Italy,32.4,24.5,1
Household,0,1 adult 65+,Cyprus,59.1,23.6,1
Household,0,1 adult 65+,Latvia,54.6,38.1,1
Household,0,1 adult 65+,Lithuania,40.7,33.4,1
Household,0,1 adult 65+,Luxembourg,8.2,17.1,1
Household,0,1 adult 65+,Hungary,23.6,29.9,1
Household,0,1 adult 65+,Malta,22.8,20.6,1
Household,0,1 adult 65+,Netherlands,7,15.1,1
Household,0,1 adult 65+,Austria,23.9,16.6,1
Household,0,1 adult 65+,Poland,32.8,27.8,1
Household,0,1 adult 65+,Portugal,41.8,25.3,1
Household,0,1 adult 65+,Romania,52.8,41.4,1
Household,0,1 adult 65+,Slovenia,46.2,18.3,1
Household,0,1 adult 65+,Slovakia,26.8,20.6,1
Household,0,1 adult 65+,Finland,39.8,16.9,1
Household,0,1 adult 65+,Sweden,32.2,15,1
Household,0,1 adult 65+,United Kingdom,29.4,23.1,1
Household,0,1 adult 65+,Iceland,12.7,13.7,1
Household,0,1 adult 65+,Norway,30.1,14.9,1
Household,0,1 adult 65+,Switzerland,36.9,17.1,1
Household,0,1 adult 65+,Croatia,56.9,31.3,1
Household,0,1 person w dep. children,Belgium,49.6,20.8,1
Household,0,1 person w dep. children,Bulgaria,65.2,41.6,1
Household,0,1 person w dep. children,Czech Republic,47.7,14.4,1
Household,0,1 person w dep. children,Denmark,32.2,18.3,1
Household,0,1 person w dep. children,Germany,53.4,19.7,1
Household,0,1 person w dep. children,Estonia,45.2,21.7,1
Household,0,1 person w dep. children,Ireland,62.7,29.9,1
Household,0,1 person w dep. children,Greece,46.3,27.7,1
Household,0,1 person w dep. children,Spain,51.6,25.5,1
Household,0,1 person w dep. children,France,46,19.2,1
Household,0,1 person w dep. children,Italy,48.7,24.5,1
Household,0,1 person w dep. children,Cyprus,44.4,23.6,1
Household,0,1 person w dep. children,Latvia,62.3,38.1,1
Household,0,1 person w dep. children,Lithuania,63.8,33.4,1
Household,0,1 person w dep. children,Luxembourg,52,17.1,1
Household,0,1 person w dep. children,Hungary,55.1,29.9,1
Household,0,1 person w dep. children,Malta,74.2,20.6,1
Household,0,1 person w dep. children,Netherlands,50.1,15.1,1
Household,0,1 person w dep. children,Austria,38.3,16.6,1
Household,0,1 person w dep. children,Poland,51.7,27.8,1
Household,0,1 person w dep. children,Portugal,46.9,25.3,1
Household,0,1 person w dep. children,Romania,55.3,41.4,1
Household,0,1 person w dep. children,Slovenia,38.3,18.3,1
Household,0,1 person w dep. children,Slovakia,44.1,20.6,1
Household,0,1 person w dep. children,Finland,29.7,16.9,1
Household,0,1 person w dep. children,Sweden,37.5,15,1
Household,0,1 person w dep. children,United Kingdom,61.3,23.1,1
Household,0,1 person w dep. children,Iceland,46.2,13.7,1
Household,0,1 person w dep. children,Norway,37.4,14.9,1
Household,0,1 person w dep. children,Switzerland,38.3,17.1,1
Household,0,1 person w dep. children,Croatia,43.4,31.3,1
Household,0,Single female,Belgium,30.6,20.8,1
Household,0,Single female,Bulgaria,78.3,41.6,1
Household,0,Single female,Czech Republic,29.1,14.4,1
Household,0,Single female,Denmark,36.3,18.3,1
Household,0,Single female,Germany,34.7,19.7,1
Household,0,Single female,Estonia,31.8,21.7,1
Household,0,Single female,Ireland,24.1,29.9,1
Household,0,Single female,Greece,40.3,27.7,1
Household,0,Single female,Spain,32.6,25.5,1
Household,0,Single female,France,25.8,19.2,1
Household,0,Single female,Italy,34.5,24.5,1
Household,0,Single female,Cyprus,53.1,23.6,1
Household,0,Single female,Latvia,53,38.1,1
Household,0,Single female,Lithuania,43.2,33.4,1
Household,0,Single female,Luxembourg,18.8,17.1,1
Household,0,Single female,Hungary,32.1,29.9,1
Household,0,Single female,Malta,31.4,20.6,1
Household,0,Single female,Netherlands,27.7,15.1,1
Household,0,Single female,Austria,30.8,16.6,1
Household,0,Single female,Poland,38.5,27.8,1
Household,0,Single female,Portugal,42.9,25.3,1
Household,0,Single female,Romania,55.8,41.4,1
Household,0,Single female,Slovenia,51,18.3,1
Household,0,Single female,Slovakia,31.8,20.6,1
Household,0,Single female,Finland,37.3,16.9,1
Household,0,Single female,Sweden,36.5,15,1
Household,0,Single female,United Kingdom,34.2,23.1,1
Household,0,Single female,Iceland,22.2,13.7,1
Household,0,Single female,Norway,36.7,14.9,1
Household,0,Single female,Switzerland,29.9,17.1,1
Household,0,Single female,Croatia,56.5,31.3,1
Household,0,Single male,Belgium,30.8,20.8,1
Household,0,Single male,Bulgaria,57.7,41.6,1
Household,0,Single male,Czech Republic,19.8,14.4,1
Household,0,Single male,Denmark,36.5,18.3,1
Household,0,Single male,Germany,36.7,19.7,1
Household,0,Single male,Estonia,39.4,21.7,1
Household,0,Single male,Ireland,45.1,29.9,1
Household,0,Single male,Greece,35.2,27.7,1
Household,0,Single male,Spain,29,25.5,1
Household,0,Single male,France,29.1,19.2,1
Household,0,Single male,Italy,26,24.5,1
Household,0,Single male,Cyprus,29.3,23.6,1
Household,0,Single male,Latvia,55.3,38.1,1
Household,0,Single male,Lithuania,54.7,33.4,1
Household,0,Single male,Luxembourg,25.2,17.1,1
Household,0,Single male,Hungary,36.9,29.9,1
Household,0,Single male,Malta,30.2,20.6,1
Household,0,Single male,Netherlands,29.1,15.1,1
Household,0,Single male,Austria,23.1,16.6,1
Household,0,Single male,Poland,39.3,27.8,1
Household,0,Single male,Portugal,39,25.3,1
Household,0,Single male,Romania,50.1,41.4,1
Household,0,Single male,Slovenia,38.2,18.3,1
Household,0,Single male,Slovakia,33.5,20.6,1
Household,0,Single male,Finland,38.4,16.9,1
Household,0,Single male,Sweden,28.1,15,1
Household,0,Single male,United Kingdom,33.3,23.1,1
Household,0,Single male,Iceland,31.7,13.7,1
Household,0,Single male,Norway,32.9,14.9,1
Household,0,Single male,Switzerland,19.6,17.1,1
Household,0,Single male,Croatia,55,31.3,1
Household,0,2 adults,Belgium,20.1,20.8,1
Household,0,2 adults,Bulgaria,47,41.6,1
Household,0,2 adults,Czech Republic,11.3,14.4,1
Household,0,2 adults,Denmark,12.3,18.3,1
Household,0,2 adults,Germany,13.9,19.7,1
Household,0,2 adults,Estonia,16.4,21.7,1
Household,0,2 adults,Ireland,20.4,29.9,1
Household,0,2 adults,Greece,29.4,27.7,1
Household,0,2 adults,Spain,23.5,25.5,1
Household,0,2 adults,France,13.3,19.2,1
Household,0,2 adults,Italy,18.7,24.5,1
Household,0,2 adults,Cyprus,37.9,23.6,1
Household,0,2 adults,Latvia,34.3,38.1,1
Household,0,2 adults,Lithuania,31.6,33.4,1
Household,0,2 adults,Luxembourg,10.5,17.1,1
Household,0,2 adults,Hungary,23.3,29.9,1
Household,0,2 adults,Malta,25.6,20.6,1
Household,0,2 adults,Netherlands,9.2,15.1,1
Household,0,2 adults,Austria,15.7,16.6,1
Household,0,2 adults,Poland,25.9,27.8,1
Household,0,2 adults,Portugal,27.3,25.3,1
Household,0,2 adults,Romania,37.9,41.4,1
Household,0,2 adults,Slovenia,20.2,18.3,1
Household,0,2 adults,Slovakia,17.3,20.6,1
Household,0,2 adults,Finland,10.3,16.9,1
Household,0,2 adults,Sweden,8.2,15,1
Household,0,2 adults,United Kingdom,16.5,23.1,1
Household,0,2 adults,Iceland,6.8,13.7,1
Household,0,2 adults,Norway,6.2,14.9,1
Household,0,2 adults,Switzerland,15.2,17.1,1
Household,0,2 adults,Croatia,36.7,31.3,1
Household,0,2 adults < 65,Belgium,18.6,20.8,1
Household,0,2 adults < 65,Bulgaria,38.7,41.6,1
Household,0,2 adults < 65,Czech Republic,14.5,14.4,1
Household,0,2 adults < 65,Denmark,10.6,18.3,1
Household,0,2 adults < 65,Germany,15.5,19.7,1
Household,0,2 adults < 65,Estonia,18.2,21.7,1
Household,0,2 adults < 65,Ireland,22.6,29.9,1
Household,0,2 adults < 65,Greece,28.7,27.7,1
Household,0,2 adults < 65,Spain,21.8,25.5,1
Household,0,2 adults < 65,France,15.4,19.2,1
Household,0,2 adults < 65,Italy,19.9,24.5,1
Household,0,2 adults < 65,Cyprus,27.8,23.6,1
Household,0,2 adults < 65,Latvia,34.2,38.1,1
Household,0,2 adults < 65,Lithuania,35.9,33.4,1
Household,0,2 adults < 65,Luxembourg,13.2,17.1,1
Household,0,2 adults < 65,Hungary,29.1,29.9,1
Household,0,2 adults < 65,Malta,23.8,20.6,1
Household,0,2 adults < 65,Netherlands,10.9,15.1,1
Household,0,2 adults < 65,Austria,16.6,16.6,1
Household,0,2 adults < 65,Poland,26.6,27.8,1
Household,0,2 adults < 65,Portugal,26.4,25.3,1
Household,0,2 adults < 65,Romania,38,41.4,1
Household,0,2 adults < 65,Slovenia,24,18.3,1
Household,0,2 adults < 65,Slovakia,19.9,20.6,1
Household,0,2 adults < 65,Finland,12,16.9,1
Household,0,2 adults < 65,Sweden,10,15,1
Household,0,2 adults < 65,United Kingdom,14.4,23.1,1
Household,0,2 adults < 65,Iceland,9.4,13.7,1
Household,0,2 adults < 65,Norway,9.1,14.9,1
Household,0,2 adults < 65,Switzerland,9.4,17.1,1
Household,0,2 adults < 65,Croatia,42.8,31.3,1
Household,0,"2 adults, 1+ 65+",Belgium,22.3,20.8,1
Household,0,"2 adults, 1+ 65+",Bulgaria,54.4,41.6,1
Household,0,"2 adults, 1+ 65+",Czech Republic,6.9,14.4,1
Household,0,"2 adults, 1+ 65+",Denmark,14.9,18.3,1
Household,0,"2 adults, 1+ 65+",Germany,12.2,19.7,1
Household,0,"2 adults, 1+ 65+",Estonia,13.8,21.7,1
Household,0,"2 adults, 1+ 65+",Ireland,16.9,29.9,1
Household,0,"2 adults, 1+ 65+",Greece,29.8,27.7,1
Household,0,"2 adults, 1+ 65+",Spain,25.4,25.5,1
Household,0,"2 adults, 1+ 65+",France,9.9,19.2,1
Household,0,"2 adults, 1+ 65+",Italy,17.7,24.5,1
Household,0,"2 adults, 1+ 65+",Cyprus,47.7,23.6,1
Household,0,"2 adults, 1+ 65+",Latvia,34.4,38.1,1
Household,0,"2 adults, 1+ 65+",Lithuania,26.2,33.4,1
Household,0,"2 adults, 1+ 65+",Luxembourg,6.5,17.1,1
Household,0,"2 adults, 1+ 65+",Hungary,16.4,29.9,1
Household,0,"2 adults, 1+ 65+",Malta,27.3,20.6,1
Household,0,"2 adults, 1+ 65+",Netherlands,6.7,15.1,1
Household,0,"2 adults, 1+ 65+",Austria,14.6,16.6,1
Household,0,"2 adults, 1+ 65+",Poland,24.8,27.8,1
Household,0,"2 adults, 1+ 65+",Portugal,27.9,25.3,1
Household,0,"2 adults, 1+ 65+",Romania,37.7,41.4,1
Household,0,"2 adults, 1+ 65+",Slovenia,16.4,18.3,1
Household,0,"2 adults, 1+ 65+",Slovakia,14.2,20.6,1
Household,0,"2 adults, 1+ 65+",Finland,7.2,16.9,1
Household,0,"2 adults, 1+ 65+",Sweden,6,15,1
Household,0,"2 adults, 1+ 65+",United Kingdom,19.4,23.1,1
Household,0,"2 adults, 1+ 65+",Iceland,2.9,13.7,1
Household,0,"2 adults, 1+ 65+",Norway,1.8,14.9,1
Household,0,"2 adults, 1+ 65+",Switzerland,24.6,17.1,1
Household,0,"2 adults, 1+ 65+",Croatia,32.2,31.3,1
Household,0,2 adults w 1 dep. child,Belgium,13,20.8,1
Household,0,2 adults w 1 dep. child,Bulgaria,29.2,41.6,1
Household,0,2 adults w 1 dep. child,Czech Republic,11.2,14.4,1
Household,0,2 adults w 1 dep. child,Denmark,10.6,18.3,1
Household,0,2 adults w 1 dep. child,Germany,12.4,19.7,1
Household,0,2 adults w 1 dep. child,Estonia,18.4,21.7,1
Household,0,2 adults w 1 dep. child,Ireland,23.4,29.9,1
Household,0,2 adults w 1 dep. child,Greece,28.9,27.7,1
Household,0,2 adults w 1 dep. child,Spain,21.7,25.5,1
Household,0,2 adults w 1 dep. child,France,10.9,19.2,1
Household,0,2 adults w 1 dep. child,Italy,20.4,24.5,1
Household,0,2 adults w 1 dep. child,Cyprus,17.1,23.6,1
Household,0,2 adults w 1 dep. child,Latvia,31.5,38.1,1
Household,0,2 adults w 1 dep. child,Lithuania,24.8,33.4,1
Household,0,2 adults w 1 dep. child,Luxembourg,18.6,17.1,1
Household,0,2 adults w 1 dep. child,Hungary,26.8,29.9,1
Household,0,2 adults w 1 dep. child,Malta,15.3,20.6,1
Household,0,2 adults w 1 dep. child,Netherlands,8.9,15.1,1
Household,0,2 adults w 1 dep. child,Austria,12.1,16.6,1
Household,0,2 adults w 1 dep. child,Poland,20.7,27.8,1
Household,0,2 adults w 1 dep. child,Portugal,18.1,25.3,1
Household,0,2 adults w 1 dep. child,Romania,34.7,41.4,1
Household,0,2 adults w 1 dep. child,Slovenia,12.8,18.3,1
Household,0,2 adults w 1 dep. child,Slovakia,17.7,20.6,1
Household,0,2 adults w 1 dep. child,Finland,10.1,16.9,1
Household,0,2 adults w 1 dep. child,Sweden,8,15,1
Household,0,2 adults w 1 dep. child,United Kingdom,14.1,23.1,1
Household,0,2 adults w 1 dep. child,Iceland,8.2,13.7,1
Household,0,2 adults w 1 dep. child,Norway,6.4,14.9,1
Household,0,2 adults w 1 dep. child,Switzerland,13,17.1,1
Household,0,2 adults w 1 dep. child,Croatia,29.6,31.3,1
Household,0,2 adults w 2 dep. children,Belgium,12,20.8,1
Household,0,2 adults w 2 dep. children,Bulgaria,36,41.6,1
Household,0,2 adults w 2 dep. children,Czech Republic,11.8,14.4,1
Household,0,2 adults w 2 dep. children,Denmark,7.2,18.3,1
Household,0,2 adults w 2 dep. children,Germany,11.4,19.7,1
Household,0,2 adults w 2 dep. children,Estonia,16.8,21.7,1
Household,0,2 adults w 2 dep. children,Ireland,24.8,29.9,1
Household,0,2 adults w 2 dep. children,Greece,24.5,27.7,1
Household,0,2 adults w 2 dep. children,Spain,26,25.5,1
Household,0,2 adults w 2 dep. children,France,12.6,19.2,1
Household,0,2 adults w 2 dep. children,Italy,23.4,24.5,1
Household,0,2 adults w 2 dep. children,Cyprus,14.2,23.6,1
Household,0,2 adults w 2 dep. children,Latvia,32.2,38.1,1
Household,0,2 adults w 2 dep. children,Lithuania,26.3,33.4,1
Household,0,2 adults w 2 dep. children,Luxembourg,14.8,17.1,1
Household,0,2 adults w 2 dep. children,Hungary,27.7,29.9,1
Household,0,2 adults w 2 dep. children,Malta,18.7,20.6,1
Household,0,2 adults w 2 dep. children,Netherlands,11,15.1,1
Household,0,2 adults w 2 dep. children,Austria,10.5,16.6,1
Household,0,2 adults w 2 dep. children,Poland,25.3,27.8,1
Household,0,2 adults w 2 dep. children,Portugal,21.5,25.3,1
Household,0,2 adults w 2 dep. children,Romania,38.9,41.4,1
Household,0,2 adults w 2 dep. children,Slovenia,10.8,18.3,1
Household,0,2 adults w 2 dep. children,Slovakia,13.4,20.6,1
Household,0,2 adults w 2 dep. children,Finland,9.2,16.9,1
Household,0,2 adults w 2 dep. children,Sweden,7.6,15,1
Household,0,2 adults w 2 dep. children,United Kingdom,16.7,23.1,1
Household,0,2 adults w 2 dep. children,Iceland,7.8,13.7,1
Household,0,2 adults w 2 dep. children,Norway,4.1,14.9,1
Household,0,2 adults w 2 dep. children,Switzerland,14.6,17.1,1
Household,0,2 adults w 2 dep. children,Croatia,22.8,31.3,1
Household,0,2 adults w 3+ dep. children,Belgium,20.6,20.8,1
Household,0,2 adults w 3+ dep. children,Bulgaria,76.7,41.6,1
Household,0,2 adults w 3+ dep. children,Czech Republic,26.3,14.4,1
Household,0,2 adults w 3+ dep. children,Denmark,12.1,18.3,1
Household,0,2 adults w 3+ dep. children,Germany,24.4,19.7,1
Household,0,2 adults w 3+ dep. children,Estonia,21.9,21.7,1
Household,0,2 adults w 3+ dep. children,Ireland,39.6,29.9,1
Household,0,2 adults w 3+ dep. children,Greece,32.5,27.7,1
Household,0,2 adults w 3+ dep. children,Spain,45,25.5,1
Household,0,2 adults w 3+ dep. children,France,24.7,19.2,1
Household,0,2 adults w 3+ dep. children,Italy,40.7,24.5,1
Household,0,2 adults w 3+ dep. children,Cyprus,22.5,23.6,1
Household,0,2 adults w 3+ dep. children,Latvia,45,38.1,1
Household,0,2 adults w 3+ dep. children,Lithuania,40.9,33.4,1
Household,0,2 adults w 3+ dep. children,Luxembourg,24.2,17.1,1
Household,0,2 adults w 3+ dep. children,Hungary,45.9,29.9,1
Household,0,2 adults w 3+ dep. children,Malta,33.3,20.6,1
Household,0,2 adults w 3+ dep. children,Netherlands,16.6,15.1,1
Household,0,2 adults w 3+ dep. children,Austria,24.7,16.6,1
Household,0,2 adults w 3+ dep. children,Poland,42.3,27.8,1
Household,0,2 adults w 3+ dep. children,Portugal,43.8,25.3,1
Household,0,2 adults w 3+ dep. children,Romania,72.8,41.4,1
Household,0,2 adults w 3+ dep. children,Slovenia,16.2,18.3,1
Household,0,2 adults w 3+ dep. children,Slovakia,33.7,20.6,1
Household,0,2 adults w 3+ dep. children,Finland,13.9,16.9,1
Household,0,2 adults w 3+ dep. children,Sweden,12.9,15,1
Household,0,2 adults w 3+ dep. children,United Kingdom,36.2,23.1,1
Household,0,2 adults w 3+ dep. children,Iceland,13,13.7,1
Household,0,2 adults w 3+ dep. children,Norway,10,14.9,1
Household,0,2 adults w 3+ dep. children,Switzerland,24,17.1,1
Household,0,2 adults w 3+ dep. children,Croatia,38.1,31.3,1
Household,0,2+ adults w/o dep. children,Belgium,17.5,20.8,1
Household,0,2+ adults w/o dep. children,Bulgaria,39.1,41.6,1
Household,0,2+ adults w/o dep. children,Czech Republic,10.3,14.4,1
Household,0,2+ adults w/o dep. children,Denmark,12,18.3,1
Household,0,2+ adults w/o dep. children,Germany,12.9,19.7,1
Household,0,2+ adults w/o dep. children,Estonia,16.3,21.7,1
Household,0,2+ adults w/o dep. children,Ireland,20.1,29.9,1
Household,0,2+ adults w/o dep. children,Greece,24.7,27.7,1
Household,0,2+ adults w/o dep. children,Spain,22,25.5,1
Household,0,2+ adults w/o dep. children,France,13.5,19.2,1
Household,0,2+ adults w/o dep. children,Italy,18.4,24.5,1
Household,0,2+ adults w/o dep. children,Cyprus,28,23.6,1
Household,0,2+ adults w/o dep. children,Latvia,33.3,38.1,1
Household,0,2+ adults w/o dep. children,Lithuania,31.2,33.4,1
Household,0,2+ adults w/o dep. children,Luxembourg,9.4,17.1,1
Household,0,2+ adults w/o dep. children,Hungary,22.6,29.9,1
Household,0,2+ adults w/o dep. children,Malta,16.7,20.6,1
Household,0,2+ adults w/o dep. children,Netherlands,9,15.1,1
Household,0,2+ adults w/o dep. children,Austria,12.3,16.6,1
Household,0,2+ adults w/o dep. children,Poland,24.5,27.8,1
Household,0,2+ adults w/o dep. children,Portugal,22.7,25.3,1
Household,0,2+ adults w/o dep. children,Romania,35.5,41.4,1
Household,0,2+ adults w/o dep. children,Slovenia,16.9,18.3,1
Household,0,2+ adults w/o dep. children,Slovakia,15.7,20.6,1
Household,0,2+ adults w/o dep. children,Finland,10.5,16.9,1
Household,0,2+ adults w/o dep. children,Sweden,8.3,15,1
Household,0,2+ adults w/o dep. children,United Kingdom,15.7,23.1,1
Household,0,2+ adults w/o dep. children,Iceland,6.7,13.7,1
Household,0,2+ adults w/o dep. children,Norway,6.3,14.9,1
Household,0,2+ adults w/o dep. children,Switzerland,13.8,17.1,1
Household,0,2+ adults w/o dep. children,Croatia,29.7,31.3,1
Household,0,2+ adults with dep. children,Belgium,15.8,20.8,1
Household,0,2+ adults with dep. children,Bulgaria,38.5,41.6,1
Household,0,2+ adults with dep. children,Czech Republic,12.6,14.4,1
Household,0,2+ adults with dep. children,Denmark,10.2,18.3,1
Household,0,2+ adults with dep. children,Germany,13.8,19.7,1
Household,0,2+ adults with dep. children,Estonia,18.7,21.7,1
Household,0,2+ adults with dep. children,Ireland,28.7,29.9,1
Household,0,2+ adults with dep. children,Greece,28.3,27.7,1
Household,0,2+ adults with dep. children,Spain,26.7,25.5,1
Household,0,2+ adults with dep. children,France,16.7,19.2,1
Household,0,2+ adults with dep. children,Italy,25.8,24.5,1
Household,0,2+ adults with dep. children,Cyprus,17,23.6,1
Household,0,2+ adults with dep. children,Latvia,35.2,38.1,1
Household,0,2+ adults with dep. children,Lithuania,28.7,33.4,1
Household,0,2+ adults with dep. children,Luxembourg,18.1,17.1,1
Household,0,2+ adults with dep. children,Hungary,32.2,29.9,1
Household,0,2+ adults with dep. children,Malta,19.7,20.6,1
Household,0,2+ adults with dep. children,Netherlands,11.7,15.1,1
Household,0,2+ adults with dep. children,Austria,14.5,16.6,1
Household,0,2+ adults with dep. children,Poland,27.1,27.8,1
Household,0,2+ adults with dep. children,Portugal,23.6,25.3,1
Household,0,2+ adults with dep. children,Romania,42.7,41.4,1
Household,0,2+ adults with dep. children,Slovenia,12.3,18.3,1
Household,0,2+ adults with dep. children,Slovakia,20.9,20.6,1
Household,0,2+ adults with dep. children,Finland,11.1,16.9,1
Household,0,2+ adults with dep. children,Sweden,9.2,15,1
Household,0,2+ adults with dep. children,United Kingdom,20.1,23.1,1
Household,0,2+ adults with dep. children,Iceland,8.8,13.7,1
Household,0,2+ adults with dep. children,Norway,6.8,14.9,1
Household,0,2+ adults with dep. children,Switzerland,15.9,17.1,1
Household,0,2+ adults with dep. children,Croatia,28.8,31.3,1
Household,0,3+ adults,Belgium,8.9,20.8,1
Household,0,3+ adults,Bulgaria,31.6,41.6,1
Household,0,3+ adults,Czech Republic,8.6,14.4,1
Household,0,3+ adults,Denmark,7.8,18.3,1
Household,0,3+ adults,Germany,8.2,19.7,1
Household,0,3+ adults,Estonia,16,21.7,1
Household,0,3+ adults,Ireland,19.5,29.9,1
Household,0,3+ adults,Greece,20.7,27.7,1
Household,0,3+ adults,Spain,20.4,25.5,1
Household,0,3+ adults,France,14.7,19.2,1
Household,0,3+ adults,Italy,18,24.5,1
Household,0,3+ adults,Cyprus,17.1,23.6,1
Household,0,3+ adults,Latvia,32,38.1,1
Household,0,3+ adults,Lithuania,30.6,33.4,1
Household,0,3+ adults,Luxembourg,7.4,17.1,1
Household,0,3+ adults,Hungary,21.5,29.9,1
Household,0,3+ adults,Malta,9.7,20.6,1
Household,0,3+ adults,Netherlands,7.6,15.1,1
Household,0,3+ adults,Austria,6.4,16.6,1
Household,0,3+ adults,Poland,23.2,27.8,1
Household,0,3+ adults,Portugal,17.4,25.3,1
Household,0,3+ adults,Romania,32.8,41.4,1
Household,0,3+ adults,Slovenia,12.6,18.3,1
Household,0,3+ adults,Slovakia,14.4,20.6,1
Household,0,3+ adults,Finland,12.5,16.9,1
Household,0,3+ adults,Sweden,9,15,1
Household,0,3+ adults,United Kingdom,13.6,23.1,1
Household,0,3+ adults,Iceland,6.3,13.7,1
Household,0,3+ adults,Norway,7.5,14.9,1
Household,0,3+ adults,Switzerland,8.8,17.1,1
Household,0,3+ adults,Croatia,23.2,31.3,1
Household,0,3+ adults w dep. children,Belgium,19.9,20.8,1
Household,0,3+ adults w dep. children,Bulgaria,40,41.6,1
Household,0,3+ adults w dep. children,Czech Republic,9.5,14.4,1
Household,0,3+ adults w dep. children,Denmark,20.9,18.3,1
Household,0,3+ adults w dep. children,Germany,10.7,19.7,1
Household,0,3+ adults w dep. children,Estonia,19.8,21.7,1
Household,0,3+ adults w dep. children,Ireland,27.9,29.9,1
Household,0,3+ adults w dep. children,Greece,36.8,27.7,1
Household,0,3+ adults w dep. children,Spain,28.9,25.5,1
Household,0,3+ adults w dep. children,France,25.5,19.2,1
Household,0,3+ adults w dep. children,Italy,30,24.5,1
Household,0,3+ adults w dep. children,Cyprus,16.1,23.6,1
Household,0,3+ adults w dep. children,Latvia,37.1,38.1,1
Household,0,3+ adults w dep. children,Lithuania,30.9,33.4,1
Household,0,3+ adults w dep. children,Luxembourg,18.9,17.1,1
Household,0,3+ adults w dep. children,Hungary,33.3,29.9,1
Household,0,3+ adults w dep. children,Malta,18.7,20.6,1
Household,0,3+ adults w dep. children,Netherlands,8.2,15.1,1
Household,0,3+ adults w dep. children,Austria,15.4,16.6,1
Household,0,3+ adults w dep. children,Poland,27.2,27.8,1
Household,0,3+ adults w dep. children,Portugal,26.7,25.3,1
Household,0,3+ adults w dep. children,Romania,43.2,41.4,1
Household,0,3+ adults w dep. children,Slovenia,12,18.3,1
Household,0,3+ adults w dep. children,Slovakia,24.4,20.6,1
Household,0,3+ adults w dep. children,Finland,14.8,16.9,1
Household,0,3+ adults w dep. children,Sweden,11.9,15,1
Household,0,3+ adults w dep. children,United Kingdom,16.9,23.1,1
Household,0,3+ adults w dep. children,Iceland,3.3,13.7,1
Household,0,3+ adults w dep. children,Norway,11.4,14.9,1
Household,0,3+ adults w dep. children,Switzerland,14.6,17.1,1
Household,0,3+ adults w dep. children,Croatia,29,31.3,1
Household,0,Households w/o dep. children,Belgium,21.7,20.8,1
Household,0,Households w/o dep. children,Bulgaria,44.1,41.6,1
